text,due_date,channel,image_url
"📣 작가의집 황준연 대표 초청강의 페이지를 열었습니다.

강의료·인원·주제·장소·시간 — 자유롭게 적어 주시면, 대표가 직접 2영업일 안에 답장 드립니다.

▪ 2~3일에 책 한 권 쓰는 법
▪ 이선생과 쓰는 법 — AI 협업 글쓰기
▪ 1인 출판사로 연 1억 버는 법
▪ 책 한 권이 만드는 브랜드
▪ 작가와의 만남(북토크)

🔗 신청: https://260515golecture.netlify.app/",2026-05-22 09:00,facebook,https://raw.githubusercontent.com/Jakkashouse/jakkashouse-promo-assets/main/260522-golecture-facebook/01-cover.jpg
"📣 작가의집 황준연 대표 초청강의 페이지가 열렸습니다.

강의료·인원·주제 — 자유롭게 적어 주시면 대표가 직접 2영업일 안에 답합니다.

확정 아니어도 괜찮습니다. 조건만 남겨주세요.

프로필 링크 →

#작가의집 #황준연대표 #초청강의 #북토크 #1인출판",2026-05-22 09:00,instagram,https://raw.githubusercontent.com/Jakkashouse/jakkashouse-promo-assets/main/260522-golecture-instagram/01-cover.jpg
"작가의집이 황준연 대표 초청강의 페이지를 정식 오픈했습니다.

연 100여 권 기획·출간, 최근 2년간 100명 넘는 저자를 배출한 현장의 방법론을 그대로 가져가실 수 있는 자리입니다.

▪ 2~3일에 책 한 권 쓰는 법
▪ 이선생과 쓰는 법 — AI 협업 글쓰기
▪ 1인 출판사로 연 1억 버는 법
▪ 책 한 권이 만드는 브랜드 (퍼스널 브랜딩)
▪ 작가와의 만남 (북토크)

소규모(10~30명) 50~150만원, 중형(30~100명) 150~300만원, 대형(100명+) 300~500만원이 기준선입니다. 온라인은 20~30% 할인, 도서 10권 이상 단체구매가 함께 있으면 강연료를 재계산해 드립니다.

확정값이 아니어도 됩니다. 신청 폼에 윤곽만 남겨주시면, 황준연 대표가 직접 읽고 2영업일 안에 답장 드립니다.

🔗 신청: https://260515golecture.netlify.app/

#작가의집 #1인출판 #북토크 #기업강연 #퍼스널브랜딩 #AI글쓰기",2026-05-22 09:00,linkedin,https://raw.githubusercontent.com/Jakkashouse/jakkashouse-promo-assets/main/260522-golecture-linkedin/01-cover.jpg
"작가의집 황준연 대표 초청강의 페이지를 열었습니다.

확정이 아니어도 괜찮습니다. 조건만 남겨주시면 대표가 직접 2영업일 안에 답합니다.

🔗 https://260515golecture.netlify.app/

#작가의집 #북토크 #1인출판",2026-05-22 09:00,twitter,https://raw.githubusercontent.com/Jakkashouse/jakkashouse-promo-assets/main/260522-golecture-twitter/01-cover.jpg
"📖 당신의 현장에, 작가의집 대표를 초청하세요

강연은 어렵게 잡는 일이 아닙니다. 인원이 적어도, 예산이 빠듯해도, 카페 한쪽이어도 시작할 수 있습니다.

황준연 대표가 직접 읽고 2영업일 안에 회신합니다. 확정이 아니어도 괜찮습니다. 조건만 남겨 주시면 거기서부터 함께 맞춰 갑니다.

25년 차 경호원 오정수 저자의 『당신의 아이는 안전합니까?』, 인성 전문가 이은정 저자의 『그동안 애쓰셨습니다』, 어머니 최영옥 저자의 『아들아, 인생 이렇게 살아라』 — 평범한 직업인을 작가로 세우는 일을 매달 합니다.

🔗 신청: https://260515golecture.netlify.app/",2026-05-22 13:00,facebook,https://raw.githubusercontent.com/Jakkashouse/jakkashouse-promo-assets/main/260522-golecture-facebook/02-cover.jpg
"📖 강연은 어렵게 잡는 일이 아닙니다.

인원이 적어도, 예산이 빠듯해도, 카페 한쪽이어도 시작할 수 있습니다.

망설임부터 덜어 드리려고 초청 페이지를 따로 열었습니다.

프로필 링크 →

#출판사대표 #작가의만남 #저자강연",2026-05-22 13:00,instagram,https://raw.githubusercontent.com/Jakkashouse/jakkashouse-promo-assets/main/260522-golecture-instagram/02-cover.jpg
"당신의 현장에, 작가의집 대표를 초청하세요

강연은 어렵게 잡는 일이 아니라고 생각합니다. 정작 막히는 지점은 늘 같습니다 — “이 정도 규모로 부르는 게 맞을까”, “강사가 받아 줄까”, “확정도 안 됐는데 문의해도 될까” 하는 망설임입니다.

작가의집은 그 망설임부터 덜어 드리려고 초청 페이지를 따로 열었습니다. 강의료·인원·주제·장소·시간을 자유롭게 적어 주시면, 황준연 대표가 직접 읽고 2영업일 안에 회신합니다. 확정이 아니어도 괜찮습니다. 조건만 남겨 주시면, 거기서부터 함께 맞춰 갑니다.

25년 차 경호원의 『당신의 아이는 안전합니까?』(오정수), 인성 전문가가 오십에 깨달은 『그동안 애쓰셨습니다, 사람도 삶도』(이은정), 어머니가 아들에게 건네는 『아들아, 인생 이렇게 살아라』(최영옥)까지 — 평범한 직업인을 작가로 세우는 일을 매달 합니다.

지금 머릿속에 떠오르는 모임이 있다면, 그게 신호입니다. 3분이면 끝나는 설문에 조건을 남겨 주십시오. 답장은 대표가 직접 드립니다.

🔗 신청: https://260515golecture.netlify.app/

#작가의집 #초청강의 #B2B #기업특강 #1인출판",2026-05-22 13:00,linkedin,https://raw.githubusercontent.com/Jakkashouse/jakkashouse-promo-assets/main/260522-golecture-linkedin/02-cover.jpg
"강연은 어렵게 잡는 일이 아닙니다. 인원이 적어도, 예산이 빠듯해도 시작할 수 있습니다.

황준연 대표가 직접 읽고 2영업일 안에 답장 드립니다. 확정이 아니어도 괜찮습니다.

🔗 https://260515golecture.netlify.app/",2026-05-22 13:00,twitter,https://raw.githubusercontent.com/Jakkashouse/jakkashouse-promo-assets/main/260522-golecture-twitter/02-cover.jpg
"📚 “2~3일에 책 한 권 쓰는 법” — 황준연 대표 초청강의 1번 주제

세 가지 축으로 굴러갑니다.
① 목차를 먼저 잡지 않습니다
② AI를 “받아쓰는 사람”으로 씁니다
③ 메시지가 모이면 그제야 8~12장으로 묶습니다

이 방식으로 25년 차 경호원 오정수, 인성 전문가 이은정, 어머니 최영옥 저자가 각자의 책을 손에 쥐었습니다.

쓸 시간이 없어서 못 쓴 게 아니라, 쓰는 방법을 몰랐을 뿐입니다.

🔗 신청: https://260515golecture.netlify.app/",2026-05-25 09:00,facebook,https://raw.githubusercontent.com/Jakkashouse/jakkashouse-promo-assets/main/260522-golecture-facebook/03-cover.jpg
"📚 “2~3일에 책 한 권 쓰는 법”

키보드부터 두드리지 않습니다. 머릿속 사례를 인터뷰로 끄집어내고, AI가 받아쓰고, 저자가 다듬습니다.

목차는 마지막에 잡습니다.

프로필 링크 →

#책쓰기강의 #2~3일에책한권 #저자되기",2026-05-25 09:00,instagram,https://raw.githubusercontent.com/Jakkashouse/jakkashouse-promo-assets/main/260522-golecture-instagram/03-cover.jpg
